 * Serving Flask app 'app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [28/Sep/2020 20:50:10] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:50:10] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:50:11] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:55:43] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:55:43] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:55:44] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:59:39] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 20:59:39] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 20:59:40] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 21:03:36] "OPTIONS /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 21:03:36] "OPTIONS /api/logics HTTP/1.1" 308 -
127.0.0.1 - - [28/Sep/2020 21:03:36] "POST /api/authenticate HTTP/1.1" 200 -
127.0.0.1 - - [28/Sep/2020 22:39:39] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [28/Sep/2020 22:39:40] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [29/Sep/2020 01:50:43] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [29/Sep/2020 01:50:44] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [29/Sep/2020 01:53:20] "GET //api/search HTTP/1.1" 404 -
